F (N)	L (m)	E (Pa)	I (m^4)	δ (m)
4.653393974070e+02	2.285332856488e+00	4.767059730256e+10	4.822198705518e-03	5.033629900990e-07
4.637483921069e+02	3.424487534342e+00	2.810012393284e+10	2.414781650366e-03	5.717969652596e-06
3.061117730438e+02	2.943065913343e+00	3.445621225527e+10	2.790834402610e-03	1.690585577726e-06
3.569277191718e+02	3.133015508477e+00	3.894368689768e+10	4.722417298740e-03	1.243441183560e-06
3.820257568756e+02	4.867115687476e+00	4.526186334381e+10	2.340571731985e-03	8.661877359654e-06
2.184161712341e+02	2.189595175452e+00	3.886222448485e+10	3.451786858333e-03	3.560929764569e-07
2.576260282465e+02	3.674815802695e+00	2.521641134993e+10	4.346841469075e-03	2.429954516609e-06
2.657131274767e+02	4.647476225761e+00	4.400233302819e+10	3.084322101288e-03	4.094377431139e-06
3.076062724162e+02	4.981240811186e+00	3.907202326026e+10	2.900767775467e-03	6.988560019639e-06
3.123165116621e+02	4.594780792126e+00	4.112876527564e+10	4.603858135963e-03	3.333346755639e-06
3.680825581278e+02	3.670585886900e+00	3.725951487921e+10	4.692139510463e-03	2.169212308522e-06
2.733773025280e+02	4.875515539621e+00	3.182870859501e+10	3.293032690907e-03	6.297494419595e-06
3.911022879194e+02	3.748279542991e+00	4.563749058735e+10	3.829692253597e-03	2.455044703273e-06
3.244024932724e+02	3.376915049764e+00	3.763084386708e+10	3.256257225392e-03	2.123932405200e-06
2.491559586061e+02	3.958944046826e+00	2.266441267684e+10	4.574381996404e-03	3.106642174280e-06
4.980142387995e+02	4.377489154820e+00	4.932366765487e+10	3.798365039583e-03	4.645406209517e-06
4.964975900287e+02	4.291196439259e+00	2.072531225780e+10	4.698390853502e-03	8.393843542245e-06
4.276805463513e+02	3.372360040936e+00	4.368130134526e+10	3.620236353196e-03	2.160964187189e-06
3.071101151485e+02	2.754010114760e+00	2.931858152668e+10	2.436515567219e-03	1.870842947801e-06
3.914821429489e+02	4.554185735636e+00	4.919146039638e+10	2.767049975259e-03	5.659736557141e-06
4.150477620548e+02	4.567616931580e+00	3.017811579913e+10	3.753864444349e-03	7.273696152887e-06
3.392360013363e+02	2.992793386170e+00	2.383101769544e+10	4.551503585980e-03	1.746599879993e-06
2.315148823135e+02	4.007293434703e+00	2.772896279854e+10	4.591099150785e-03	2.438039928139e-06
3.530968155220e+02	2.505719806274e+00	4.614963872007e+10	2.217135788254e-03	1.131069999196e-06
3.466298344859e+02	4.472615399335e+00	4.317130740932e+10	4.620143340803e-03	3.239356274531e-06
4.695180668388e+02	2.230421566834e+00	3.352659736410e+10	2.125410317800e-03	1.523139479287e-06
3.549441432488e+02	2.361795639539e+00	4.590468054662e+10	4.615632580895e-03	4.597878880882e-07
4.568581830709e+02	2.858758932273e+00	4.844342374624e+10	3.943708205730e-03	1.163946908478e-06
2.726102647595e+02	2.872397996457e+00	4.838056520763e+10	2.492830605019e-03	1.116017762571e-06
4.992924135059e+02	3.867335659280e+00	3.925576766687e+10	3.396947016648e-03	4.511875268122e-06
4.579901314792e+02	3.214937401798e+00	2.570059469754e+10	2.147634609867e-03	5.744191095016e-06
4.389932772927e+02	3.249257871308e+00	4.728452049453e+10	2.718115386062e-03	2.441081576731e-06
3.937320728257e+02	4.081338523842e+00	4.621159500828e+10	4.352714495404e-03	2.772402431765e-06
2.573669318252e+02	3.406127045442e+00	3.539127052125e+10	4.440534856945e-03	1.348225691419e-06
2.620487365514e+02	4.820205031767e+00	2.808552846334e+10	2.004872805271e-03	1.085845267614e-05
2.652461006341e+02	3.399438567290e+00	3.096572052219e+10	3.426774196595e-03	2.045797693645e-06
2.914385477583e+02	3.180409539097e+00	4.692980927551e+10	4.080230423562e-03	1.020049905408e-06
3.409299701566e+02	2.248728825496e+00	3.921034171542e+10	3.492375499811e-03	5.898120539891e-07
4.547720242924e+02	3.454804174566e+00	3.851478583315e+10	2.247336518672e-03	4.513643083761e-06
4.641683909338e+02	2.525464426841e+00	3.052291679178e+10	2.725380554839e-03	1.872427047064e-06
4.233411423738e+02	2.497825480553e+00	2.164831788921e+10	2.192180978776e-03	2.896242705815e-06
2.828113332917e+02	4.436895383278e+00	2.288971189593e+10	4.123640350896e-03	5.452203169189e-06
3.770475640117e+02	2.512364653128e+00	4.388007455687e+10	3.832848079988e-03	7.406515962860e-07
3.264745758651e+02	3.825649323276e+00	2.216298304571e+10	3.507133285603e-03	4.899402480933e-06
3.471013651896e+02	2.401438233507e+00	4.515890608159e+10	2.080727854921e-03	1.065787574035e-06
4.003299532559e+02	2.884576440912e+00	2.331688428516e+10	4.903311101952e-03	1.750906837460e-06
4.472351798320e+02	2.217313977621e+00	4.972729490424e+10	3.467824650264e-03	5.890122684539e-07
4.489670721689e+02	4.344750459058e+00	3.947004091792e+10	3.475852314103e-03	5.591635769688e-06
3.110262633560e+02	2.564657007425e+00	4.886632040632e+10	4.151320997841e-03	5.388250101214e-07
2.000727752769e+02	3.199490590140e+00	4.123889632232e+10	3.122139285921e-03	1.060302933475e-06
4.016790015871e+02	2.026316165032e+00	2.445104080066e+10	2.179023482378e-03	1.306773316398e-06
4.153215113833e+02	3.771134784012e+00	4.097868874375e+10	3.367130207853e-03	3.363112415077e-06
4.339941170464e+02	4.184022702442e+00	2.742343784272e+10	3.246683689441e-03	7.438113914531e-06
2.104082594797e+02	3.680083614970e+00	2.091685002498e+10	3.775077325857e-03	2.766766262032e-06
2.564143849423e+02	4.828598488374e+00	4.071505136903e+10	3.157045297156e-03	4.678736965843e-06
4.424503385654e+02	2.785357787277e+00	2.877102152780e+10	3.040558154178e-03	2.276971876864e-06
2.778875020877e+02	4.825526802800e+00	2.711868794007e+10	4.479075535895e-03	5.355560306144e-06
3.959651451602e+02	4.652060500842e+00	3.833812772834e+10	2.743063072864e-03	7.897417364037e-06
2.856834213049e+02	2.034317162013e+00	3.523572128392e+10	2.873802144781e-03	4.948342583650e-07
4.896341631069e+02	4.570534850576e+00	4.196562482551e+10	3.465697492370e-03	6.696489671798e-06
3.492932457250e+02	3.768774317718e+00	2.430355892508e+10	2.190289450212e-03	7.317756590815e-06
3.802248409875e+02	4.532454877309e+00	2.858596721486e+10	4.846404130770e-03	5.323867027248e-06
3.574627500749e+02	2.843880950125e+00	3.982574094855e+10	4.781741783344e-03	8.994433317266e-07
4.768645511341e+02	2.547952112407e+00	2.971416145755e+10	3.698951885315e-03	1.495152271650e-06
4.047794080372e+02	2.645297914226e+00	4.346912379172e+10	4.504299454683e-03	7.972468285740e-07
3.816445658896e+02	4.932183689491e+00	3.467915642762e+10	4.213538982408e-03	6.528599579105e-06
4.351049031679e+02	2.960218104629e+00	4.885987274408e+10	4.336838891746e-03	1.109681257382e-06
4.951454884012e+02	2.866225776727e+00	4.720788630092e+10	3.108845484924e-03	1.655042261976e-06
4.291746503905e+02	3.425291657291e+00	4.139595512947e+10	3.097988880260e-03	2.801868397917e-06
2.548890625293e+02	4.418787279754e+00	3.919475586195e+10	4.434015140779e-03	2.636295647618e-06
3.126782275824e+02	3.292601305674e+00	2.944382615926e+10	2.822540242897e-03	2.797946813764e-06
3.022713989113e+02	4.250458313463e+00	4.596905656622e+10	2.834207799206e-03	3.711639796109e-06
