E (Pa)	I (m^4)	ρ (kg/m^3)	A (m^2)	L (m)	f (Hz)
2.283400652508e+10	1.044519629775e-05	5.631402756415e+03	5.638953963733e-03	4.837961700575e+00	2.071760832279e+00
4.312155489376e+10	4.281914788348e-05	4.511695750973e+03	9.593349237169e-03	2.350320331624e+00	2.092087030976e+01
3.790142204590e+10	2.803698110124e-05	6.732069666135e+03	9.250630930703e-03	2.608568915687e+00	1.074116640889e+01
3.259143358020e+10	7.173478113730e-05	6.076937083724e+03	8.611311881041e-03	3.532401711834e+00	9.478117626364e+00
3.796334135593e+10	6.425269698795e-05	6.810953726117e+03	6.357078765599e-03	3.431007102783e+00	1.128170076481e+01
2.129238241515e+10	8.194855187340e-05	2.852688844563e+03	5.559231954258e-03	4.096778410587e+00	1.105823712922e+01
1.320448222856e+10	7.859898662484e-05	3.065905676984e+03	5.457762860605e-03	4.171281480976e+00	8.008775449191e+00
1.250726414012e+10	6.127059324887e-05	7.457681066521e+03	2.969677538953e-03	4.887130674890e+00	4.357781248743e+00
4.080522289388e+10	8.158656492559e-05	2.594619424620e+03	2.304015980381e-03	3.540743156352e+00	3.330592135848e+01
2.588836161983e+10	5.019483918495e-05	4.822556394971e+03	3.917379569723e-03	3.985422131952e+00	9.238880539369e+00
3.794490068437e+10	2.883078777937e-05	4.471333148454e+03	6.062293306503e-03	2.943909125547e+00	1.297005608594e+01
3.102427273952e+10	7.103598390230e-05	7.467723441968e+03	3.254177399924e-03	4.304610282439e+00	9.093483390553e+00
4.842425405311e+10	8.896999339564e-05	2.604086721611e+03	4.348996247618e-03	4.263669984729e+00	1.898394741560e+01
3.678075422436e+10	2.709131040125e-05	3.778532022155e+03	6.341798954748e-03	3.260764274594e+00	1.073102978522e+01
3.244503144656e+10	1.959007713805e-05	7.216808604045e+03	2.505439776763e-03	3.464249074580e+00	8.741421290430e+00
2.478626269759e+10	2.893533908405e-05	5.010926445562e+03	9.689125447318e-03	3.636159382630e+00	5.143459944716e+00
1.412462079129e+10	5.943213682409e-05	6.956222427879e+03	1.449419686669e-03	3.563602617228e+00	1.271333234877e+01
1.537326035076e+10	1.089855622844e-05	4.320645871753e+03	4.425333862300e-03	2.144917354577e+00	1.138470203673e+01
2.551941168196e+10	3.844567891985e-05	6.785647667459e+03	6.418700671647e-03	4.252369533871e+00	4.644089293543e+00
3.569656784573e+10	6.561273445288e-05	5.722615939313e+03	4.875477053175e-03	2.824951105291e+00	2.031431797863e+01
1.587259394528e+10	1.282576598213e-05	4.062750377014e+03	9.477049629400e-03	3.083113450828e+00	4.280185837001e+00
2.984329642156e+10	9.194230380879e-05	7.144728462845e+03	1.975501170877e-03	4.631489665701e+00	1.150087424028e+01
2.595585997457e+10	3.335012303333e-05	7.853574641249e+03	7.516721956650e-03	2.398253137650e+00	1.178015849792e+01
1.631492956597e+10	2.659883043334e-05	6.780233674868e+03	6.480917975977e-03	3.248199649332e+00	5.270120243344e+00
3.027378203850e+10	3.869525514956e-05	2.546467787471e+03	2.686758643782e-03	3.101843568443e+00	2.406365922262e+01
4.988899447396e+10	6.806736177556e-05	6.641922195192e+03	4.437147161877e-03	3.201747277871e+00	1.852770400763e+01
2.566086149364e+10	4.541006282050e-05	7.312444221315e+03	8.721803423291e-03	3.978561355152e+00	4.778018130631e+00
3.400092692444e+10	8.028723670560e-05	6.522787093798e+03	7.712122010869e-03	2.251803684118e+00	2.570553880600e+01
3.120935173863e+10	2.277879253713e-05	3.838009696169e+03	7.019608240407e-03	2.827405005584e+00	1.136959206945e+01
4.125673899979e+10	3.276850809349e-05	6.711915627884e+03	2.913421619174e-03	3.245966377619e+00	1.396321777577e+01
2.982326367513e+10	7.516722424609e-05	7.988790925687e+03	2.474080926202e-03	4.901878252405e+00	7.842273731839e+00
3.226050768569e+10	7.002662879297e-05	7.560418155533e+03	1.661669103508e-03	3.155797729237e+00	2.382464207900e+01
1.146873941368e+10	3.889172065878e-05	7.681910085726e+03	2.708051461746e-03	2.598603314285e+00	1.213294013624e+01
3.206691963938e+10	2.049946967521e-05	3.734264009309e+03	1.580874903860e-03	3.808121578818e+00	1.287507411707e+01
4.562415426090e+10	9.154444656211e-05	2.406117823586e+03	4.385401029039e-03	4.874597939325e+00	1.481478617796e+01
2.277118806469e+10	2.123221426508e-05	7.616946507650e+03	1.625167100790e-03	4.217678316774e+00	6.216225996040e+00
1.303585238740e+10	3.812460288748e-05	4.303141551321e+03	1.893529873054e-03	4.997230638694e+00	5.533595026525e+00
3.233233921715e+10	9.425148775845e-05	4.393102591786e+03	8.449161942073e-03	3.463732896971e+00	1.336300305450e+01
1.828437950911e+10	8.177624696409e-05	6.495320027267e+03	1.965558850376e-03	2.953234008977e+00	2.195519769605e+01
3.510287069563e+10	5.272699057003e-05	6.996971330776e+03	9.969091789554e-03	4.097208749509e+00	5.429395236518e+00
1.039732630823e+10	1.148191096723e-05	6.883244342796e+03	6.818604597135e-03	4.294929077984e+00	1.529798603230e+00
2.525122422883e+10	2.246859807302e-05	7.601123798626e+03	3.034120880770e-03	4.623599882746e+00	4.105216369999e+00
3.635233709428e+10	8.055033577176e-05	2.177749934772e+03	1.440446189918e-03	3.324761521178e+00	4.890451972576e+01
2.167159048796e+10	9.876974952125e-05	4.657372605880e+03	6.387475569868e-03	3.838319728214e+00	1.018738290870e+01
2.767845069296e+10	8.710605614079e-05	7.251317190169e+03	5.997362818605e-03	2.605795397990e+00	1.940208939678e+01
4.343564034638e+10	7.068867232829e-05	6.487525930782e+03	5.019679096071e-03	4.926006074743e+00	7.080326513745e+00
4.655623297626e+10	4.676324097775e-05	7.942401200806e+03	9.014169366204e-03	4.111046954001e+00	5.773248508065e+00
3.484599867864e+10	6.741746580794e-05	2.948420710440e+03	1.776451135057e-03	2.946001352468e+00	4.317656639411e+01
2.221786425919e+10	9.506201042110e-05	5.002155180532e+03	2.881915871268e-03	3.298652479635e+00	1.968271345048e+01
3.021148047496e+10	5.103334947793e-05	5.498879241470e+03	5.593112318240e-03	3.562479994660e+00	9.871132611394e+00
2.581906546837e+10	5.690411752988e-05	5.166470094482e+03	3.667280711373e-03	3.279978106863e+00	1.448284406250e+01
3.536369382577e+10	7.758506298505e-05	7.694301443168e+03	8.260606990255e-03	3.942661358818e+00	7.478612199070e+00
4.460169126063e+10	9.888295596776e-05	5.101763150424e+03	4.477048424369e-03	2.363766273090e+00	4.400418217649e+01
2.532505069057e+10	2.485238764231e-05	4.856073489411e+03	8.005231993062e-03	4.032604873702e+00	4.378052540447e+00
1.444889739917e+10	1.741936462846e-05	2.630500245968e+03	7.912726406230e-03	2.661346654390e+00	8.687024401932e+00
3.893329176889e+10	4.084949514586e-05	2.130469060147e+03	8.291289589128e-03	2.673609761000e+00	2.348723487360e+01
3.164675882778e+10	9.870519153873e-05	7.745365030627e+03	3.052432761788e-03	3.679577887719e+00	1.502163805000e+01
4.824108475846e+10	4.903071484099e-05	2.059154943785e+03	1.765100529411e-03	4.028427006102e+00	2.781410483020e+01
1.854978799405e+10	2.831619554294e-05	6.379780342671e+03	6.527009339708e-03	4.486986946971e+00	3.121332324682e+00
1.468154160988e+10	5.544879068814e-05	7.835570185131e+03	3.373613970923e-03	2.027689624595e+00	2.388188439194e+01
3.936528716134e+10	3.494654480252e-05	7.132575124802e+03	3.501459285612e-03	3.967511861772e+00	8.342521293898e+00
4.802475719790e+10	1.053425493409e-05	6.560570724787e+03	7.463140122094e-03	4.271210190968e+00	3.117623597771e+00
3.659372107815e+10	8.874086685247e-05	2.860918850877e+03	6.396343364973e-03	2.879903081979e+00	2.841930129906e+01
2.825381578916e+10	2.901846692952e-05	3.294893551358e+03	2.777921282575e-03	3.775665966560e+00	1.174710012642e+01
1.058692500896e+10	9.645389986240e-05	5.969657917596e+03	4.056138171283e-03	4.967801449991e+00	4.655946028544e+00
2.394289823319e+10	5.803284168524e-05	3.225719773359e+03	4.934517448567e-03	3.655264416619e+00	1.237299091634e+01
4.449472200998e+10	7.438627852756e-05	3.483446562930e+03	4.165828954281e-03	3.811680464782e+00	1.839225901764e+01
4.650318299824e+10	8.187900078220e-05	5.711975725278e+03	8.280219278327e-03	4.961255265477e+00	6.449900894611e+00
2.612194869244e+10	6.723735902500e-05	3.221170868998e+03	9.720218776766e-03	2.031647518937e+00	3.210621868849e+01
1.195381359790e+10	3.520538001847e-05	5.353728108003e+03	5.577007874171e-03	4.366529205497e+00	3.484006131032e+00
1.930615008821e+10	8.360765390984e-05	6.863719541747e+03	9.772443054402e-03	4.687700099202e+00	3.949958706901e+00
3.378079277290e+10	3.394363521133e-05	7.928728950252e+03	7.761214824942e-03	3.582448578778e+00	5.951277501812e+00
3.533079784853e+10	5.494168968827e-05	2.891697119317e+03	7.450677072802e-03	4.651963232007e+00	7.760748069630e+00
2.070107745539e+10	7.607753558953e-05	7.042647408327e+03	3.687672098901e-03	4.700509159020e+00	6.236105312074e+00
2.363055684906e+10	9.504643846924e-05	2.576263966981e+03	6.525185237976e-03	2.538536611273e+00	3.173723684923e+01
2.347421602231e+10	1.466008528892e-05	7.894819958225e+03	9.456899981179e-03	4.476025384742e+00	1.896076597121e+00
1.639319371154e+10	5.076073253763e-05	2.669496745630e+03	3.950886024265e-03	2.356726573277e+00	2.829684758831e+01
3.442472084208e+10	5.819375991755e-05	4.740965933221e+03	5.127783468031e-03	4.296043376725e+00	8.702830530180e+00
2.674952046802e+10	4.533971633708e-05	2.427562275265e+03	7.150481470804e-03	2.722589208010e+00	1.995276122884e+01
4.010414426124e+10	8.730181862836e-05	3.194775081292e+03	6.008098611096e-03	2.235377184076e+00	4.782320190730e+01
3.218026876949e+10	8.585322856264e-05	6.064433197424e+03	1.161352071905e-03	2.863561613706e+00	4.273716438501e+01
4.731479699070e+10	3.536084096482e-05	4.911448500890e+03	7.624096338209e-03	3.903429622999e+00	7.762306130750e+00
1.880483278229e+10	7.573139466582e-05	4.079250281996e+03	5.539694780720e-03	3.273827726372e+00	1.310541118342e+01
3.780238467627e+10	2.543558489999e-05	3.488342399475e+03	7.844596774122e-03	2.298633770221e+00	1.985037462089e+01
1.278350108899e+10	4.934061419695e-05	4.934923216218e+03	5.062199646043e-03	2.557446281935e+00	1.359336513516e+01
1.845084767181e+10	6.133463880518e-05	4.462274121758e+03	1.268309857622e-03	4.176183624923e+00	1.434609704462e+01
1.557102551950e+10	3.200727565182e-05	3.932953317494e+03	5.912818145051e-03	4.194964600051e+00	4.654707353839e+00
4.159760558401e+10	4.190917695577e-05	6.948345144122e+03	3.197175693061e-03	4.060769701004e+00	9.505407619011e+00
1.644497067807e+10	6.474384042225e-05	4.181805675520e+03	9.730805595332e-03	4.639014769845e+00	4.205625754356e+00
2.586516383503e+10	3.282647986932e-05	4.294567917587e+03	4.398932491256e-03	4.284568877685e+00	6.461670460838e+00
4.471619303154e+10	3.839683968179e-05	6.274869525127e+03	7.194246692918e-03	3.738179160302e+00	7.808859163844e+00
1.716454028670e+10	6.800901321515e-05	3.562038765871e+03	3.967771926867e-03	2.954749144985e+00	1.841866285416e+01
2.471563734130e+10	2.441469355271e-05	3.626542039405e+03	8.681192538286e-03	2.412161846958e+00	1.331328659871e+01
3.041078849612e+10	2.739086627405e-05	2.147655578007e+03	6.183071209093e-03	4.505494083356e+00	6.903512432278e+00
4.677643520398e+10	1.062942094404e-05	3.742818847721e+03	9.355830692487e-03	4.037592359853e+00	4.089832472892e+00
4.538643950757e+10	6.669827857346e-05	7.020958469405e+03	1.426612639410e-03	2.472517461919e+00	5.031680712365e+01
1.709711862693e+10	2.195600851317e-05	2.610729879322e+03	2.291440025401e-03	3.135794878279e+00	1.425378892873e+01
3.480337990775e+10	9.401637260216e-05	6.393226890349e+03	3.185365620122e-03	4.673987757399e+00	1.026644981196e+01
4.377106778492e+10	7.884954596994e-05	5.761370483146e+03	8.521466712585e-03	4.979032700272e+00	5.984196009164e+00
3.575148750508e+10	5.118380397748e-05	7.220704022819e+03	6.925740009302e-03	3.691032260520e+00	7.856289300671e+00
3.353483244042e+10	8.633205982717e-05	3.322123226032e+03	1.246556796596e-03	4.020422775063e+00	2.894339318195e+01
3.600370095101e+10	9.220535110742e-05	7.206403603115e+03	3.594916321055e-03	4.149383798415e+00	1.163331302697e+01
1.443696352617e+10	3.317245991038e-05	7.280695891387e+03	3.069341651815e-03	2.492599542964e+00	1.318364075006e+01
4.706328283591e+10	8.400821515352e-05	2.686381729951e+03	3.557687522319e-03	2.686553798951e+00	4.986155481243e+01
3.518185808870e+10	8.369385820898e-05	5.716275712748e+03	2.465188271566e-03	4.067936023029e+00	1.545606722027e+01
1.159023160012e+10	2.528308414086e-05	6.410120073460e+03	3.269763084299e-03	3.382569631872e+00	5.782278978411e+00
2.522590660057e+10	2.284052657094e-05	5.557160254569e+03	9.190887765028e-03	4.390674786640e+00	3.082700910353e+00
2.295860560844e+10	4.910071320655e-05	6.142258484103e+03	5.256221089743e-03	3.694290181286e+00	7.660841231858e+00
3.514773848962e+10	6.652395737377e-05	5.476226246111e+03	5.652080883025e-03	3.197094815998e+00	1.504542636297e+01
1.573385069621e+10	7.196492170164e-05	4.056154665948e+03	5.720755931563e-03	2.632246606677e+00	1.783871243264e+01
4.441033511632e+10	9.912652011014e-05	5.228541351646e+03	8.811665349661e-03	4.338719765498e+00	9.187919032657e+00
4.371990642215e+10	6.323277485224e-05	6.761949602354e+03	5.206845895584e-03	4.379450798220e+00	8.174680315072e+00
1.235417766598e+10	3.987249033948e-05	6.335276707198e+03	9.680774459938e-03	4.668761642000e+00	2.300514782802e+00
4.524784094246e+10	8.598449306557e-05	3.336582302783e+03	1.212020760450e-03	2.511145880317e+00	8.703257591200e+01
4.521842758613e+10	8.057617780390e-05	2.246480561348e+03	2.097167800614e-03	3.500764943604e+00	4.015040305625e+01
3.325766063673e+10	8.781944770664e-05	4.111079618976e+03	7.945868782709e-03	4.005388546690e+00	1.042859816737e+01
1.728142775586e+10	5.462630022837e-05	7.082849182961e+03	2.069466053692e-03	2.254365786871e+00	2.794032537223e+01
1.474690187441e+10	4.711089754811e-05	2.294948492842e+03	9.199660265989e-03	2.226013957958e+00	2.048356892730e+01
2.940579957968e+10	1.810537527857e-05	3.704474614778e+03	9.440119140967e-03	3.130528149257e+00	7.044589027480e+00
3.156819419828e+10	2.087860143564e-05	6.766058176899e+03	7.415023159052e-03	2.762971714656e+00	8.400811691196e+00
1.571566965901e+10	8.499740266417e-05	3.695077952719e+03	8.932916255177e-03	2.456450892659e+00	1.865380112093e+01
3.455800339553e+10	3.903872443742e-05	4.763124982176e+03	5.528831411430e-03	4.873439302232e+00	5.332256368769e+00
2.352184104669e+10	2.632097885214e-05	2.996474957448e+03	6.117806524694e-03	4.048540181176e+00	6.273490519135e+00
1.796843483051e+10	6.250345027504e-05	6.310239814565e+03	5.930357968114e-03	4.724547747468e+00	4.342560966729e+00
1.374768942905e+10	6.912527108996e-05	4.717058338616e+03	4.836311268565e-03	4.665382530332e+00	5.246729715424e+00
1.150774883725e+10	8.714598172003e-05	2.060638558290e+03	3.520493295083e-03	2.320825068883e+00	3.862371650766e+01
2.778768888657e+10	1.770220382334e-05	3.552787815819e+03	2.670195833770e-03	2.593006914831e+00	1.894955501048e+01
4.188501078405e+10	7.290960943118e-05	3.353763911738e+03	7.731096703341e-03	2.217746470804e+00	3.904215555223e+01
2.424020354636e+10	7.767461353224e-05	6.434829387192e+03	6.316809795484e-03	3.070547346754e+00	1.277265972336e+01
1.203597700577e+10	9.556496611640e-05	5.847130723593e+03	5.047716292634e-03	3.786830430542e+00	7.702684654430e+00
3.969733825825e+10	9.793806350933e-05	2.779299031399e+03	5.099025767711e-03	2.231503379059e+00	5.885356663942e+01
4.287977217414e+10	5.206648905635e-05	4.959407122160e+03	3.941097773029e-03	3.846905311052e+00	1.277855005854e+01
3.838592095599e+10	4.245573441064e-05	2.120490000001e+03	8.955775870292e-03	2.446327009535e+00	2.738912095143e+01
3.467083749069e+10	7.187956255956e-05	4.930920982364e+03	3.661453038379e-03	3.537663782302e+00	1.661053758339e+01
2.789920700784e+10	6.569882733036e-05	4.830846255341e+03	1.355952520236e-03	3.875650672136e+00	1.970490357987e+01
3.067605256666e+10	5.506836828832e-05	3.903632775035e+03	6.881550938024e-03	2.375255775913e+00	2.486996124788e+01
4.764221157785e+10	1.523696237174e-05	3.611768192324e+03	2.333987254817e-03	4.895660895761e+00	6.850716552580e+00
1.555240656597e+10	4.163786979786e-05	4.272636679561e+03	5.891261040715e-03	4.684792255809e+00	4.089149020408e+00
2.508032000151e+10	9.945805287567e-05	7.815963382290e+03	2.522443243624e-03	4.805535405956e+00	8.618340855540e+00
3.815474311285e+10	2.125001666110e-05	2.135419592207e+03	7.401021059023e-03	4.454181205867e+00	6.387830540787e+00
1.025990066862e+10	3.135483378679e-05	5.623105278979e+03	9.348957217586e-03	4.987846404288e+00	1.759343614446e+00
1.358948071919e+10	2.861948193385e-05	6.988207730086e+03	1.985543742652e-03	4.905746395128e+00	3.892442189076e+00
2.032195907835e+10	1.608412331444e-05	7.268956658954e+03	6.846438973594e-03	4.205078592565e+00	2.564410310920e+00
2.797910445571e+10	6.640658586549e-05	2.720360277810e+03	5.706240381404e-03	2.507344350933e+00	3.079136541241e+01
2.216720902263e+10	1.454089320452e-05	7.702704362280e+03	1.465983053026e-03	2.157661981598e+00	2.030583337410e+01
1.599420417414e+10	8.259259367490e-05	4.901548397204e+03	5.711924490415e-03	3.821811246072e+00	8.321051337515e+00
4.173521498315e+10	3.076558157849e-05	3.577803888991e+03	6.503605422250e-03	3.887057293439e+00	8.699200202194e+00
1.590816681605e+10	5.701380774901e-05	5.534560464250e+03	1.695367633996e-03	2.435809981266e+00	2.931989723709e+01
3.089029988018e+10	5.276595245865e-05	5.387484790422e+03	5.946906884395e-03	3.100111017908e+00	1.313159675355e+01
4.358938689846e+10	7.346035454025e-05	2.329134558528e+03	2.073833109045e-03	4.930060255411e+00	1.874350990247e+01
4.283356497805e+10	3.366369329301e-05	5.371005269769e+03	5.882687793044e-03	4.978768276813e+00	4.822099312982e+00
2.698870134131e+10	2.819645929403e-05	4.352026293003e+03	6.038068586784e-03	3.927504609742e+00	6.172808080598e+00
1.035184782788e+10	1.760829955287e-05	6.450514915751e+03	4.920879532129e-03	4.526668286997e+00	2.069256959058e+00
3.605782488628e+10	1.616075588341e-05	7.957171822129e+03	2.445816869210e-03	3.894319471575e+00	6.384086828913e+00
1.274626268321e+10	7.929682764347e-05	4.529631425170e+03	2.717429914547e-03	3.078551893056e+00	1.691758818287e+01
1.910987521032e+10	9.416894651327e-05	6.914053406307e+03	8.733953892211e-03	4.351208672934e+00	5.101687139063e+00
1.507359519472e+10	9.284908778627e-05	7.345760446896e+03	2.393398686766e-03	2.090024494009e+00	3.614025926493e+01
1.172599649208e+10	7.953766603450e-05	4.953392952181e+03	1.635545902228e-03	3.495270823752e+00	1.553958992497e+01
4.955334658381e+10	2.794269307877e-05	7.841232599479e+03	6.305284716407e-03	4.923604672275e+00	3.862623970371e+00
4.330453283213e+10	9.290736221792e-05	2.044524921239e+03	1.828727062356e-03	3.626632600231e+00	4.413027635343e+01
4.900460971704e+10	5.860641601434e-05	5.943419521406e+03	7.658735612175e-03	4.066290945883e+00	8.500022866408e+00
2.667570559989e+10	2.199789118912e-05	5.488081667514e+03	4.523802709697e-03	4.827979080810e+00	3.690441183724e+00
4.162087055556e+10	8.319729739168e-05	4.806348646400e+03	9.888263998263e-03	2.615017094411e+00	2.208595275846e+01
2.552866522015e+10	8.299649733107e-05	2.894229326507e+03	9.555795563985e-03	2.005170092177e+00	3.851804892695e+01
3.757265138191e+10	8.448639462598e-05	2.846367192406e+03	4.272798368976e-03	2.102529361498e+00	6.466453889598e+01
2.185591188482e+10	9.623087765720e-05	7.080002009180e+03	1.281878941762e-03	3.859480236292e+00	1.808283522681e+01
1.209889266218e+10	3.772681352125e-05	5.345607233803e+03	5.375591044346e-03	4.086846938526e+00	4.222135540415e+00
1.973440762823e+10	4.732678090913e-05	6.853814976691e+03	2.174035219579e-03	3.147314736782e+00	1.414192010888e+01
1.117581346898e+10	1.247816368939e-05	3.401173835965e+03	2.952122736101e-03	3.180207024171e+00	6.519963774340e+00
1.335002843199e+10	5.556649236412e-05	3.498455460984e+03	6.132860640566e-03	4.397361777431e+00	5.380419592849e+00
4.458364788372e+10	4.514296536546e-05	4.659920532617e+03	1.073020398994e-03	2.506075300077e+00	5.652284860064e+01
2.379122598669e+10	5.091087199478e-05	4.236218522158e+03	4.769808662678e-03	3.964580370936e+00	8.715699446213e+00
1.237942521508e+10	6.267814676334e-05	6.816151037910e+03	9.480883732291e-03	4.181573291492e+00	3.506368452157e+00
4.517768401364e+10	4.744145471758e-05	4.247367140445e+03	5.660157139026e-03	3.917270116651e+00	1.088735719731e+01
1.551967394112e+10	6.328799848514e-05	5.624518037251e+03	8.361795746443e-03	2.108444647078e+00	1.818895759220e+01
3.541076558700e+10	4.697091709835e-05	4.521752441724e+03	5.741736965165e-03	2.846621262736e+00	1.747714294930e+01
3.396814274043e+10	2.983758884903e-05	5.360073666668e+03	6.888261529811e-03	2.085599014870e+00	2.131270727692e+01
2.265491114846e+10	1.210751391442e-05	5.060768348645e+03	4.780825581940e-03	3.930722191320e+00	3.855910683509e+00
1.787822660719e+10	9.656939313217e-05	7.875498553267e+03	5.625518252523e-03	3.165527812910e+00	1.102280390158e+01
3.766011684191e+10	2.915839081756e-05	2.203812584589e+03	5.170055840537e-03	4.442739088606e+00	8.800527807132e+00
1.816292183317e+10	4.386189516551e-05	3.989457417987e+03	2.132388154214e-03	2.498648968003e+00	2.742576102890e+01
1.266359675200e+10	3.437401714631e-05	5.742377373864e+03	6.741321435769e-03	3.302839341900e+00	5.439050311293e+00
2.832101780523e+10	8.494411290895e-05	7.074796020657e+03	2.960749990523e-03	4.159426233790e+00	1.096021475895e+01
4.565327596706e+10	5.131596391004e-05	4.211774706689e+03	4.142242945030e-03	4.199719178151e+00	1.162502892674e+01
2.876153093508e+10	2.472196339054e-05	6.019238036775e+03	2.317928999646e-03	3.803014834096e+00	8.733599900778e+00
2.118902196090e+10	8.834417398564e-05	3.863124893836e+03	3.605552056169e-03	4.079150207902e+00	1.232742682854e+01
2.080749592244e+10	3.225461787471e-05	3.395004382576e+03	4.219814678304e-03	2.622603427037e+00	1.760744854107e+01
1.226000759377e+10	5.563007724618e-05	7.248163866832e+03	7.419124139558e-03	2.948087500921e+00	7.250230555692e+00
3.344736252536e+10	8.914853394761e-05	7.124438308367e+03	3.743178801250e-03	2.644293085706e+00	2.675752482356e+01
3.683574225192e+10	6.922803310291e-05	5.886045497158e+03	9.339726077812e-03	4.635430234375e+00	5.608405540858e+00
4.193929491328e+10	5.428804176697e-05	6.984451639287e+03	4.042359604648e-03	2.392977258022e+00	2.774754432888e+01
4.508481404123e+10	6.009279009687e-05	3.958304232090e+03	9.277241622155e-03	4.951226950590e+00	6.199537837170e+00
1.409630829383e+10	7.599694019384e-05	3.858585859782e+03	1.329964961053e-03	2.688615868235e+00	3.536565655489e+01
4.488683672330e+10	8.470861913266e-05	5.561816564794e+03	3.409707916132e-03	3.868199920067e+00	1.674407784695e+01
4.076675880553e+10	3.067781613873e-05	6.371231257360e+03	7.355571432974e-03	3.244576363683e+00	8.682645993636e+00
4.075728743564e+10	5.447010212820e-05	2.700558580145e+03	3.466082035981e-03	3.063693144659e+00	2.903137844450e+01
1.295225283898e+10	8.961558436236e-05	3.438110292331e+03	1.586653823584e-03	4.853407201439e+00	1.095702491441e+01
2.686414726434e+10	7.201086763989e-05	6.655699746093e+03	9.257395775877e-03	4.050061429968e+00	6.044268241829e+00
3.821586944659e+10	4.831203661052e-05	6.445990583728e+03	8.653380767945e-03	2.915136783619e+00	1.197889079157e+01
3.582258612457e+10	7.675794451821e-05	7.166242676209e+03	3.627529927664e-03	4.515588125929e+00	8.924479770317e+00
1.098200774966e+10	1.695321398388e-05	5.941633235848e+03	1.744206934389e-03	3.326532083810e+00	6.777261030053e+00
1.340056567091e+10	2.605851606372e-05	6.596895952671e+03	7.787742041496e-03	4.589436999960e+00	2.190103607588e+00
3.016114549588e+10	9.478647240562e-05	3.542327621020e+03	3.428747953318e-03	3.724221835364e+00	1.957206026715e+01
2.954693616569e+10	6.444305557286e-05	2.093015500466e+03	7.243163482626e-03	4.075171022470e+00	1.194056617490e+01
4.833777361712e+10	3.103124913163e-05	6.802781432062e+03	9.331990717185e-03	3.074923622415e+00	9.096337234724e+00
1.721378695094e+10	3.567242365451e-05	5.572511764708e+03	9.308933116451e-03	3.874629519313e+00	4.055004853806e+00
3.743240810755e+10	9.966472241309e-05	4.139228676602e+03	7.108898027110e-03	3.080640890638e+00	2.099298939153e+01
4.177980286551e+10	3.738316807354e-05	5.197661413579e+03	2.615350246888e-03	2.694756585939e+00	2.611775930390e+01
3.630544927899e+10	8.510127064281e-05	2.822242169830e+03	4.300176043497e-03	3.450149408100e+00	2.371704320154e+01
